Country Name,M49 Code,Country Code,Other groupings,Region
Algeria,12,DZA,,Africa
Egypt,818,EGY,,Africa
Libya,434,LBY,,Africa
Morocco,504,MAR,,Africa
Sudan,729,SDN,LDC,Africa
Tunisia,788,TUN,,Africa
Western Sahara,732,ESH,,Africa
British Indian Ocean Territory,86,IOT,,Africa
Burundi,108,BDI,LDC LLDC,Africa
Comoros,174,COM,LDC SIDS,Africa
Djibouti,262,DJI,LDC,Africa
Eritrea,232,ERI,LDC,Africa
Ethiopia,231,ETH,LDC LLDC,Africa
French Southern Territories,260,ATF,,Africa
Kenya,404,KEN,,Africa
Madagascar,450,MDG,LDC,Africa
Malawi,454,MWI,LDC LLDC,Africa
Mauritius,480,MUS,SIDS,Africa
Mayotte,175,MYT,,Africa
Mozambique,508,MOZ,LDC,Africa
Réunion,638,REU,,Africa
Rwanda,646,RWA,LDC LLDC,Africa
Seychelles,690,SYC,SIDS,Africa
Somalia,706,SOM,LDC,Africa
South Sudan,728,SSD,LDC LLDC,Africa
Uganda,800,UGA,LDC LLDC,Africa
United Republic of Tanzania,834,TZA,LDC,Africa
Zambia,894,ZMB,LDC LLDC,Africa
Zimbabwe,716,ZWE,LLDC,Africa
Angola,24,AGO,LDC,Africa
Cameroon,120,CMR,,Africa
Central African Republic,140,CAF,LDC LLDC,Africa
Chad,148,TCD,LDC LLDC,Africa
Congo,178,COG,,Africa
Democratic Republic of the Congo,180,COD,LDC,Africa
Equatorial Guinea,226,GNQ,,Africa
Gabon,266,GAB,,Africa
Sao Tome and Principe,678,STP,SIDS,Africa
Botswana,72,BWA,LLDC,Africa
Eswatini,748,SWZ,LLDC,Africa
Lesotho,426,LSO,LDC LLDC,Africa
Namibia,516,NAM,,Africa
South Africa,710,ZAF,,Africa
Benin,204,BEN,LDC,Africa
Burkina Faso,854,BFA,LDC LLDC,Africa
Cabo Verde,132,CPV,SIDS,Africa
Côte d’Ivoire,384,CIV,,Africa
Gambia,270,GMB,LDC,Africa
Ghana,288,GHA,,Africa
Guinea,324,GIN,LDC,Africa
Guinea-Bissau,624,GNB,LDC SIDS,Africa
Liberia,430,LBR,LDC,Africa
Mali,466,MLI,LDC LLDC,Africa
Mauritania,478,MRT,LDC,Africa
Niger,562,NER,LDC LLDC,Africa
Nigeria,566,NGA,,Africa
Saint Helena,654,SHN,,Africa
Senegal,686,SEN,LDC,Africa
Sierra Leone,694,SLE,LDC,Africa
Togo,768,TGO,,Africa
Anguilla,660,AIA,SIDS,Latin America and the Carribean
Antigua and Barbuda,28,ATG,SIDS,Latin America and the Carribean
Aruba,533,ABW,SIDS,Latin America and the Carribean
Bahamas,44,BHS,SIDS,Latin America and the Carribean
Barbados,52,BRB,SIDS,Latin America and the Carribean
"Bonaire, Sint Eustatius and Saba",535,BES,SIDS,Latin America and the Carribean
British Virgin Islands,92,VGB,SIDS,Latin America and the Carribean
Cayman Islands,136,CYM,,Latin America and the Carribean
Cuba,192,CUB,SIDS,Latin America and the Carribean
Curaçao,531,CUW,SIDS,Latin America and the Carribean
Dominica,212,DMA,SIDS,Latin America and the Carribean
Dominican Republic,214,DOM,SIDS,Latin America and the Carribean
Grenada,308,GRD,SIDS,Latin America and the Carribean
Guadeloupe,312,GLP,,Latin America and the Carribean
Haiti,332,HTI,LDC SIDS,Latin America and the Carribean
Jamaica,388,JAM,SIDS,Latin America and the Carribean
Martinique,474,MTQ,,Latin America and the Carribean
Montserrat,500,MSR,SIDS,Latin America and the Carribean
Puerto Rico,630,PRI,SIDS,Latin America and the Carribean
Saint Barthélemy,652,BLM,,Latin America and the Carribean
Saint Kitts and Nevis,659,KNA,SIDS,Latin America and the Carribean
Saint Lucia,662,LCA,SIDS,Latin America and the Carribean
Saint Martin (French Part),663,MAF,,Latin America and the Carribean
Saint Vincent and the Grenadines,670,VCT,SIDS,Latin America and the Carribean
Sint Maarten (Dutch part),534,SXM,SIDS,Latin America and the Carribean
Trinidad and Tobago,780,TTO,SIDS,Latin America and the Carribean
Turks and Caicos Islands,796,TCA,,Latin America and the Carribean
United States Virgin Islands,850,VIR,SIDS,Latin America and the Carribean
Belize,84,BLZ,SIDS,Latin America and the Carribean
Costa Rica,188,CRI,,Latin America and the Carribean
El Salvador,222,SLV,,Latin America and the Carribean
Guatemala,320,GTM,,Latin America and the Carribean
Honduras,340,HND,,Latin America and the Carribean
Mexico,484,MEX,,Latin America and the Carribean
Nicaragua,558,NIC,,Latin America and the Carribean
Panama,591,PAN,,Latin America and the Carribean
Argentina,32,ARG,,Latin America and the Carribean
Bolivia (Plurinational State of),68,BOL,LLDC,Latin America and the Carribean
Bouvet Island,74,BVT,,Latin America and the Carribean
Brazil,76,BRA,,Latin America and the Carribean
Chile,152,CHL,,Latin America and the Carribean
Colombia,170,COL,,Latin America and the Carribean
Ecuador,218,ECU,,Latin America and the Carribean
Falkland Islands (Malvinas),238,FLK,,Latin America and the Carribean
French Guiana,254,GUF,,Latin America and the Carribean
Guyana,328,GUY,SIDS,Latin America and the Carribean
Paraguay,600,PRY,LLDC,Latin America and the Carribean
Peru,604,PER,,Latin America and the Carribean
South Georgia and the South Sandwich Islands,239,SGS,,Latin America and the Carribean
Suriname,740,SUR,SIDS,Latin America and the Carribean
Uruguay,858,URY,,Latin America and the Carribean
Venezuela (Bolivarian Republic of),862,VEN,,Latin America and the Carribean
Bermuda,60,BMU,,Northern America
Canada,124,CAN,,Northern America
Greenland,304,GRL,,Northern America
Saint Pierre and Miquelon,666,SPM,,Northern America
United States of America,840,USA,,Northern America
Kazakhstan,398,KAZ,LLDC,Asia
Kyrgyzstan,417,KGZ,LLDC,Asia
Tajikistan,762,TJK,LLDC,Asia
Turkmenistan,795,TKM,LLDC,Asia
Uzbekistan,860,UZB,LLDC,Asia
Eastern Asia,30,,,Asia
China,156,CHN,,Asia
"China, Hong Kong Special Administrative Region",344,HKG,,Asia
"China, Macao Special Administrative Region",446,MAC,,Asia
Democratic People's Republic of Korea,408,PRK,,Asia
Japan,392,JPN,,Asia
Mongolia,496,MNG,LLDC,Asia
Republic of Korea,410,KOR,,Asia
Brunei Darussalam,96,BRN,,Asia
Cambodia,116,KHM,LDC,Asia
Indonesia,360,IDN,,Asia
Lao People's Democratic Republic,418,LAO,LDC LLDC,Asia
Malaysia,458,MYS,,Asia
Myanmar,104,MMR,LDC,Asia
Philippines,608,PHL,,Asia
Singapore,702,SGP,SIDS,Asia
Thailand,764,THA,,Asia
Timor-Leste,626,TLS,LDC SIDS,Asia
Viet Nam,704,VNM,,Asia
Afghanistan,4,AFG,LDC LLDC,Asia
Bangladesh,50,BGD,LDC,Asia
Bhutan,64,BTN,LLDC,Asia
India,356,IND,,Asia
Iran (Islamic Republic of),364,IRN,,Asia
Maldives,462,MDV,SIDS,Asia
Nepal,524,NPL,LDC LLDC,Asia
Pakistan,586,PAK,,Asia
Sri Lanka,144,LKA,,Asia
Armenia,51,ARM,LLDC,Asia
Azerbaijan,31,AZE,LLDC,Asia
Bahrain,48,BHR,,Asia
Cyprus,196,CYP,,Asia
Georgia,268,GEO,,Asia
Iraq,368,IRQ,,Asia
Israel,376,ISR,,Asia
Jordan,400,JOR,,Asia
Kuwait,414,KWT,,Asia
Lebanon,422,LBN,,Asia
Oman,512,OMN,,Asia
Qatar,634,QAT,,Asia
Saudi Arabia,682,SAU,,Asia
State of Palestine,275,PSE,,Asia
Syrian Arab Republic,760,SYR,,Asia
Türkiye,792,TUR,,Asia
United Arab Emirates,784,ARE,,Asia
Yemen,887,YEM,LDC,Asia
Belarus,112,BLR,,Europe
Bulgaria,100,BGR,,Europe
Czechia,203,CZE,,Europe
Hungary,348,HUN,,Europe
Poland,616,POL,,Europe
Republic of Moldova,498,MDA,LLDC,Europe
Romania,642,ROU,,Europe
Russian Federation,643,RUS,,Europe
Slovakia,703,SVK,,Europe
Ukraine,804,UKR,,Europe
Åland Islands,248,ALA,,Europe
Denmark,208,DNK,,Europe
Estonia,233,EST,,Europe
Faroe Islands,234,FRO,,Europe
Finland,246,FIN,,Europe
Guernsey,831,GGY,,Europe
Iceland,352,ISL,,Europe
Ireland,372,IRL,,Europe
Isle of Man,833,IMN,,Europe
Jersey,832,JEY,,Europe
Latvia,428,LVA,,Europe
Lithuania,440,LTU,,Europe
Norway,578,NOR,,Europe
Svalbard and Jan Mayen Islands,744,SJM,,Europe
Sweden,752,SWE,,Europe
United Kingdom of Great Britain and Northern Ireland,826,GBR,,Europe
Albania,8,ALB,,Europe
Andorra,20,AND,,Europe
Bosnia and Herzegovina,70,BIH,,Europe
Croatia,191,HRV,,Europe
Gibraltar,292,GIB,,Europe
Greece,300,GRC,,Europe
Holy See,336,VAT,,Europe
Italy,380,ITA,,Europe
Malta,470,MLT,,Europe
Montenegro,499,MNE,,Europe
North Macedonia,807,MKD,LLDC,Europe
Portugal,620,PRT,,Europe
San Marino,674,SMR,,Europe
Serbia,688,SRB,,Europe
Slovenia,705,SVN,,Europe
Spain,724,ESP,,Europe
Austria,40,AUT,,Europe
Belgium,56,BEL,,Europe
France,250,FRA,,Europe
Germany,276,DEU,,Europe
Liechtenstein,438,LIE,,Europe
Luxembourg,442,LUX,,Europe
Monaco,492,MCO,,Europe
Netherlands (Kingdom of the),528,NLD,,Europe
Switzerland,756,CHE,,Europe
,,,,Oceania
Australia,36,AUS,,Oceania
Christmas Island,162,CXR,,Oceania
Cocos (Keeling) Islands,166,CCK,,Oceania
Heard Island and McDonald Islands,334,HMD,,Oceania
New Zealand,554,NZL,,Oceania
Norfolk Island,574,NFK,,Oceania
Fiji,242,FJI,SIDS,Oceania
New Caledonia,540,NCL,SIDS,Oceania
Papua New Guinea,598,PNG,SIDS,Oceania
Solomon Islands,90,SLB,LDC SIDS,Oceania
Vanuatu,548,VUT,SIDS,Oceania
Guam,316,GUM,SIDS,Oceania
Kiribati,296,KIR,LDC SIDS,Oceania
Marshall Islands,584,MHL,SIDS,Oceania
Micronesia (Federated States of),583,FSM,SIDS,Oceania
Nauru,520,NRU,SIDS,Oceania
Northern Mariana Islands,580,MNP,SIDS,Oceania
Palau,585,PLW,SIDS,Oceania
United States Minor Outlying Islands,581,UMI,,Oceania
American Samoa,16,ASM,SIDS,Oceania
Cook Islands,184,COK,SIDS,Oceania
French Polynesia,258,PYF,SIDS,Oceania
Niue,570,NIU,SIDS,Oceania
Pitcairn,612,PCN,,Oceania
Samoa,882,WSM,SIDS,Oceania
Tokelau,772,TKL,,Oceania
Tonga,776,TON,SIDS,Oceania
Tuvalu,798,TUV,LDC SIDS,Oceania
Wallis and Futuna Islands,876,WLF,,Oceania
